name,description,url,industry,required_skills
" Rock, Paper, Scissors!",Build a digital version of the classic childhood game where each player counts down from three and plays their move.,https://projectbook.code.brettchalupa.com/games/rock-paper-scissors.html,Game Development,C++
Pac-Man,"Build an arena-based, chase avoidance game with power-ups like Pac-Man.",https://projectbook.code.brettchalupa.com/games/pacman.html,Game Development,C++
Battleship Game Engine,Create a callable engine to play the Battleship game,https://github.com/florinpop17/app-ideas/blob/master/Projects/3-Advanced/Battleship-Game-Engine.md,Game Development,C++
"GitHub Timeline
","Produce a timeline containing each repo and annotated with the repo names, the date they were created, and their descriptions",https://github.com/florinpop17/app-ideas/blob/master/Projects/3-Advanced/GitHub-Timeline-App.md,Web Development,"Node.js,Express.js,JavaScript,REST,Databases"
Survey App,"Build an app that conduct, and view a survey",https://github.com/florinpop17/app-ideas/blob/master/Projects/3-Advanced/Survey-App.md,Web Development,"Node.js,Express.js,JavaScript,REST,Databases"
Calendar App,Create your own Calendar,https://github.com/florinpop17/app-ideas/blob/master/Projects/1-Beginner/Calendar-App.md,Web Development,"Node.js,Express.js,JavaScript,REST,Databases"
Drawing App,Create digital artwork on the web,https://github.com/florinpop17/app-ideas/blob/master/Projects/2-Intermediate/Drawing-App.md,Web Development,"Node.js,Express.js,JavaScript,REST,Databases"
Road Lane and Traffic Sign Detection System,Develop a driver-assistance system capable of detecting road lanes and traffic signs using OpenCV.,https://github.com/Vatshayan/Road-Detection-System,Computer Vision / Machine Learning / AI Engineering,"Computer Vision, Machine Learning, Python"
Movie Recomendation Engine,Build a movie recommendation system using ML,https://www.youtube.com/watch?v=XoTwndOgXBM,Media and Entertainment,Machine Learning
Netflix Clone,Build a Netflix clone application using TMDB API,https://www.youtube.com/watch?v=x_EEwGe-a9o&list=PLgxM_xd-x_qHa6ErJkxh4wIRc7Q36AMfC&index=1&t=291s,Media and Entertainment,"Web and mobile development, data security"
Smart Legal Contracts System,"Build a system for Smart Legal Contracts and templating, enabling the creation, management, and use of legally enforceable smart contracts.",https://github.com/accordproject/template-archive,Legal Technology,"JavaScript, Blockchain"
AI Legal Assistant,"Provide AI-powered legal assistance, leveraging technologies like CrewAI, LangChain, and ChromaDB to help users with legal information and support.",https://github.com/lawglance/lawglance,Legal Technology,"Artificial Intelligence, Machine Learning, Python"
 Legal Data Collector,Build a paltform to collect and organize a comprehensive set of legal texts from various jurisdictions.,https://github.com/isaacus-dev/open-australian-legal-corpus-creator,Legal Technology,"Database Management, Python"
Legal Document Analysis,"Build a paltform to classify documents into different crime categories, extract key information and generate a structured knowledge graph representing these relationships.",https://github.com/AnjaneyaTripathi/knowledge_graph,Legal Technology,"Natural Language Processing (NLP), Python"
GDPR Tracker,Build a platform that helps companies and consumers keep track of the data handling practices of their subcontractors and cloud services in real-time.,https://github.com/privacyradius/gdpr-tracker,Cloud Services and SaaS,"Database Management, Cloud"
Open Vehicle Sketch Pad,Allow users to create 3D models of aircraft and other aerospace vehicles for engineering analysis and design.,https://github.com/OpenVSP/OpenVSP,Aerospace Engineering,"Computer Graphics, C++, Python"
Simple Flight Simulator,"Simulate aircraft flight, likely for educational, research, or hobbyist purposes.",https://github.com/marek-cel/mscsim,Aerospace Engineering,"Computer Graphics, C++"
Eye Tracking-Based Computer Control,"Allowi people with disabilities (such as ALS and other motor neuron diseases) to interact with computers hands-free, using only their eyes.",https://github.com/OptiKey/OptiKey,Healthcare / Disability Support,C#
Web-based AAC Communication Board,Augmentative and Alternative Communication (AAC) system with text-to-speech feature in the browser.,https://github.com/cboard-org/cboard,Healthcare / Disability Support,"Web Developement, JavaScript, React "
Ethernet and ARP Network,Build a basic TCP/IP network stack from scratch,https://www.saminiir.com/lets-code-tcp-ip-stack-1-ethernet-arp/,Network programming / Systems programming,C
Writting a compiler in C,Write a compiler from scratch,https://briancallahan.net/blog/20210814.html,Tooling / Developer Productivity / Programming Languages,Rust
Build a Programming language with LLVM,Build your own programming language using the LLVM compiler infrastructure  ,https://llvm.org/docs/tutorial/#kaleidoscope-implementing-a-language-with-llvm,Compiler Development / Programming Languages / Systems programming,"C++, Python"
Matrix Multiplication,implement a softmax classifier ,https://gist.github.com/nadavrot/5b35d44e8ba3dd718e595e40184d03f0,Machine Learning / Artificial Intelligence / Scientific Computing / Systems Programming,"C++, Python"
Space invaders ,Buildi the classic arcade game Space Invaders  from scratch,http://nicktasios.nl/posts/space-invaders-from-scratch-part-1.html,Game Development / Systems Programming,C
Tetris Game,Create the classic game Tetris focusing primarily on game logic,http://javilop.com/gamedev/tetris-tutorial-in-c-platform-independent-focused-in-game-logic-for-beginners/,Game Development / Systems Programming,C
TCP/IP Stack,Build a basic TCP/IP network stack from the ground up.,http://www.saminiir.com/lets-code-tcp-ip-stack-1-ethernet-arp/,Network Programming / Systems Programming,C
Concurrent servers,Build event-driven servers using non-blocking I/O and event loops,https://eli.thegreenplace.net/2017/concurrent-servers-part-3-event-driven/,Systems Programming / Network Programming,"Python, Javascript, C/C++"
Chronic Disease Management Platform for Diabetes,"Build a Chronic disease management software for remote monitoring, scheduling, personalized care, and compliance tracking.",https://www.matellio.com/blog/chronic-care-management-software-development/,Healthcare DevOps,"IoT integration, data analytics"
Virtual Nursing Assistant,"Develop an AI-powered virtual nursing assistant for patient support, symptom tracking, and health guidance.",https://topflightapps.com/ideas/build-virtual-nurse-app/,Healthcare DevOps,"AI for healthcare, NLP"
AI-Assisted Fraud Detection in Healthcare Billing,Build an AI-driven system for detecting fraud in healthcare billing through pattern analysis and anomaly detection.,https://www.udemy.com/course/ai-fraud-detection-mastery-transform-audits-with-chatgpt/?utm_source=bing&utm_medium=udemyads&utm_campaign=BG-Search_DSA_Beta_Prof_la.EN_cc.ROW-English&campaigntype=Search&portfolio=Bing-ROW-English&language=EN&product=Course&test=&audience=DSA&topic=&priority=Beta&utm_content=deal4584&utm_term=_._ag_1329311946398319_._ad__._kw_Finance+en_._de_c_._dm__._pl__._ti_dat-2334881661677439%3Aloc-157_._li_142852_._pd__._&matchtype=b&msclkid=dde9cd37e9281e05562fa5b5ce1dbf33&couponCode=PMNVD2525,Healthcare / Finance,"Data science, machine learning"
Blockchain-Based Record System,Build a secure blockchain-based system for managing and verifying healthcare records with tamper-proof data integrity.,https://www.devteam.space/blog/blockchain-for-medical-records/,Blockchain in Healthcare,"Blockchain, data encryption"
Deep Learning Toolbox for Medical Image Analysis,Create an open-source toolbox to train deep learning models for medical image analysis.,https://github.com/microsoft/InnerEye-DeepLearning,Healthcare / Medical Imaging,"Deep Learning, Cloud deployment, Python"
Virtual Reality Exposure Therapy App,"Develop an Immersive VR app for exposure therapy, helping users confront and manage anxiety or phobias.",https://www.udemy.com/course/virtual-reality-and-apps-therapy-course/?utm_source=bing&utm_medium=udemyads&utm_campaign=BG-Search_DSA_Gamma_NonP_la.EN_cc.ROW-English&campaigntype=Search&portfolio=Bing-ROW-English&language=EN&product=Course&test=&audience=DSA&topic=&priority=Gamma&utm_content=deal4584&utm_term=_._ag_1324913899917995_._ad__._kw_Health+en_._de_c_._dm__._pl__._ti_dat-2334606783827007%3Aloc-157_._li_142852_._pd__._&matchtype=b&msclkid=6c8863415279157be7900bc37aae806f&couponCode=PMNVD2525,Healthcare / VR in Mental Health,"VR development, user interaction"
Electronic Health Records and Medical Practice Management App,"Build a paltform to help healthcare providers manage patient records, medical histories, scheduling, billing, and other essential clinical operations.",https://github.com/openemr/openemr,Healthcare,"Web and mobile development, data security"
Personal Health Assistant,"Provide health-related assistance and insights by leveraging artificial intelligence, focusing on improving healthcare outcomes using personalized data.",https://github.com/OpenHealthForAll/open-health, Healthcare,"Artificial Intelligence, Machine Learning, TypeScript"
Medication Management App,"Build a smart medication management tool for tracking doses, reminders, and adherence to treatment plans.",https://arkenea.com/blog/medication-management-app-development/,Healthcare / Mobile Apps,"App development, data management"
Predictive Maintenance for Medical Equipment,"Build an AI-powered tool for predicting medical equipment failures, optimizing maintenance schedules, and reducing downtime.",https://github.com/its-kanii/Predictive-maintenance-for-healthcare-equipment,Healthcare DevOps,"IoT, predictive analytics"
Deep Learning Healthcare Application,"Build a paltform to facilitate clinical research, data mining, and machine learning on electronic health records, electronic medical records, and other healthcare datasets.",https://github.com/sunlabuiuc/PyHealth,Healthcare / Clinical Research,"Deep learning, machine learning, Python"
Telemedicine Platform,"Build a Telemedicine platform enabling remote consultations, appointment scheduling, and secure patient-provider communication.",https://topflightapps.com/ideas/how-to-create-a-telehealth-app/,Healthcare / Mobile Apps,"Web and mobile development, data security"
 Fitness and Workout Tracker App,"Build a platform for tracking fitness workouts, nutrition, and body weight.",https://github.com/wger-project/wger,Health / Sport,"Python, Django"
Sports Computer Vision Tool,"Use computer vision techniques for sports analytics, including detection, tracking, and analysis. ",https://github.com/roboflow/sports,Sport / Computer Vision & AI in Sports Performance,"Computer Vision, Python , AI"
Football open statistics platform,"Build an open-data repository, offering detailed sports statistics for football matches.",https://github.com/statsbomb/open-data,Football Analysis,"Data Science, Database Management, Python "
Football CLI,"Build  a command-line interface for viewing live football (soccer) scores, fixtures, league standings, and related data.",https://github.com/manrajgrover/football-cli,Football,"JavaScript, Node.js"
Fantasy Sports API,"Build an API for accessing Fantasy data, specifically for Football and Basketball.",https://github.com/cwendt94/espn-api,Esport,"Python, RESTful API"
Open Football World Cup Data,"Provides free, open, public domain data for the FIFA World Cup and World Cup Qualifiers.",https://github.com/openfootball/worldcup,Sport / Data Science,Database Management
World Cup 2018 CLI Dashboard,"Provide a command-line interface (CLI) dashboard for the World Cup 2018, allowing users to watch and follow soccer matches directly in their terminal.",https://github.com/cedricblondeau/world-cup-2018-cli-dashboard,Football,"JavaScript, Node.js, Terminal UI libraries"
Sports Management Simulation Game with TypeScript,"Build a single-player sports management simulation game, focusing on sports like basketball, baseball, football, and hockey.",https://github.com/zengm-games/zengm,Sport / Game Development ,TypeScript
Python Wrapper for Fantasy Premier League,Provide an asynchronous Python wrapper for the Fantasy Premier League (FPL) API.,https://github.com/amosbastian/fpl,Esport ,"Python, RESTful API"
Personal Finance App,Provide personal finance management tools accessible to a wide range of users,https://github.com/maybe-finance/maybe,Finance,"Ruby, PostgreSQL"
Banking Digital Transformation Platform,"Platform to modernize banking services through digital onboarding, mobile access, and automated workflows.",https://www.udemy.com/course/digital-transformation-in-banking-practitioner/?utm_source=bing&utm_medium=udemyads&utm_campaign=BG-Search_DSA_Beta_Prof_la.EN_cc.ROW-English&campaigntype=Search&portfolio=Bing-ROW-English&language=EN&product=Course&test=&audience=DSA&topic=&priority=Beta&utm_content=deal4584&utm_term=_._ag_1323814388459850_._ad__._kw_Business+en_._de_c_._dm__._pl__._ti_dat-2334538064298664%3Aloc-157_._li_142852_._pd__._&matchtype=b&msclkid=242466f9333313f7950a0e7b63eec81f&couponCode=PMNVD2525,Finance / Banking Technology,"IoT technology, Data Analytics, Cloud technology"
Blockchain Application in Trade Finance,"Develop a Blockchain-based solution to streamline trade finance processes with secure, transparent, and tamper-proof transactions.",https://www.ibm.com/think/topics/blockchain-for-trade-finance,Blockchain in Finance,"Blockchain, data encryption"
Digital Payment System,"Build a secure digital payment system enabling fast, user-friendly transactions across mobile and web platforms.",https://www.scnsoft.com/payment/app-development,Finance / Digital Wallets,"API Integration, Encryption Standards (SSL/TLS)"
Open-Source Investment Research Platform,"Provide accessible, comprehensive, and advanced tools for investment research.",https://github.com/OpenBB-finance/OpenBB,Finance,"Python, Machine Learning"
Financial Markets Data Visualization Library,"Design a platform for plotting candlestick charts, OHLC charts, and visualizing market data for trading and finance applications.",https://github.com/matplotlib/mplfinance,Finance / Data Analysis & Visualization,"Python, Data visualization"
Open Source Enterprise Resource Planning Suite,"Provide businesses with a comprehensive suite for managing accounting, asset management, CRM, distribution, HR, manufacturing, point-of-sale, procurement, project management, retail, and support.",https://github.com/frappe/erpnext,Enterprise  / Business Management,"Web development, Database management, Python"
"Coverage Path Planning Library for Autonomous Agricultural Vehicles
","Build a platform to help automate field coverage tasks in agriculture, such as spraying, mowing, or harvesting, by providing algorithms and tools for optimal path planning.",https://github.com/Fields2Cover/Fields2Cover,Agriculture,C++
Agricultural Supply Chain App,"Use blockchain technology to improve transparency, traceability, and financial inclusion within the agricultural supply chain.",https://github.com/Kerala-Blockchain-Academy/AgroChain,Agriculture,"Blockchain, JavaScript"
Farming-App,Build an app to serve various needs of farmers using modern technologies and best practices.,https://github.com/hetsuthar028/Farming-App,Agriculture,"Android application development, Kotlin"
Digital Platform for Sustainable Farming,"Develop a digital platform designed to connect farmers and scientists. Its goal is to facilitate participatory assessment of the social, environmental, and economic outputs of farming systems.",https://github.com/LiteFarmOrg/LiteFarm,Agriculture,"Web development, JavaScript"
Open Source Technology for Farming and Gardening,"Provide an open-source list of technology resources relevant to agriculture, farming, and gardening.",https://github.com/brycejohnston/awesome-agriculture,Agriculture,"GitHub, Markdown files"
